OBJECTID *,Shape *,FID_points,FID_points,osm_id,name,barrier,highway,ref,address,is_in,place,man_made,other_tags,lat,lon,FID_points_divided_MinimumBoundi1,FID_DatasetlSVISam_MinimumBoundi
101,点,631,1891,7176920185,大快活 Fairwood, , , , , , , ,"addr:housenumber=>""7"",""addr:street""=>""亞士厘道 Ashley Road"",""amenity""=>""fast_food"",""brand""=>""大快活 Fairwood"",""brand:en""=>""Fairwood"",""brand:wikidata""=>""Q5430935"",""brand:zh""=>""大快活"",""brand:zh-Hans""=>""大快活"",""brand:zh-Hant""=>""大快活"",""",22.296524,114.170495,1,1
102,点,634,483,2938367942,Ashoka Guesthouse, , , , , , , ,"addr:door=>""13A4"",""addr:floor""=>""13/F"",""addr:housenumber""=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""A"",""level""=>""13"",""tourism""=>""guest_house""",22.296525,114.172547,1,1
103,点,639,914,4848098163,CKE, , , , , , , ,"addr:street=>""彌敦道 Nathan Road"",""shop""=>""yes""",22.296534,114.172421,1,1
104,点,643,499,2938367958,New Super Guesthouse, , , , , , , ,"addr:door=>""17A2"",""addr:floor""=>""17/F"",""addr:housenumber""=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""A"",""level""=>""17"",""tourism""=>""guest_house""",22.296537,114.172594,1,1
105,点,644,502,2938367961,Pay Less Guesthouse, , , , , , , ,"addr:door=>""6A5, 7A2, 7A8-9"",""addr:floor""=>""6/F-7/F"",""addr:housenumber""=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""A"",""level""=>""6"",""tourism""=>""guest_house""",22.296538,114.172437,1,1
106,点,650,1530,5890148087,大家樂 Café de Coral, , , , , , , ,"addr:housenumber=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""Shop 01"",""amenity""=>""fast_food"",""brand""=>""大家樂 Café de Coral"",""brand:en""=>""Café de Coral"",""brand:wikidata""=>""Q16241484"",""brand:zh""=>""大家樂"",""brand:zh-Hans""=>""大",22.296544,114.172474,1,1
107,点,651,2280,10880215922,銀記香港傳統美食 Hong Kong Traditional Food, , , , , , , ,"amenity=>""fast_food"",""name:en""=>""Hong Kong Traditional Food"",""name:zh""=>""銀記香港傳統美食""",22.296545,114.171539,1,1
108,点,656,486,2938367945,Delta HK Hotel, , , , , , , ,"addr:city=>""尖沙咀 Tsim Sha Tsui"",""addr:door""=>""16A5"",""addr:floor""=>""16/F"",""addr:housenumber""=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""A"",""level""=>""16"",""operator""=>""Ashoka Hotels"",""tourism""=>""hostel"",""website""=>""http://www.delta",22.296554,114.172595,1,1
109,点,659,488,2938367947,First Guesthouse, , , , , , , ,"addr:door=>""7A1"",""addr:floor""=>""7/F"",""addr:housenumber""=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""A"",""level""=>""7"",""tourism""=>""guest_house""",22.296555,114.172435,1,1
110,点,667,494,2938367953,Longdon Guesthouse, , , , , , , ,"addr:door=>""6A1-2"",""addr:floor""=>""6/F"",""addr:housenumber""=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""A"",""level""=>""6"",""tourism""=>""guest_house""",22.296568,114.172434,1,1
111,点,668,513,2938367972,Travellers Hostel, , , , , , , ,"addr:door=>""16A1-4"",""addr:floor""=>""16/F"",""addr:housenumber""=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""A"",""level""=>""16"",""tourism""=>""hostel""",22.296569,114.172595,1,1
112,点,674,913,4848098162,卓悅 Bonjour, , , , , , , ,"addr:street=>""彌敦道 Nathan Road"",""brand""=>""卓悅 Bonjour"",""brand:en""=>""Bonjour"",""brand:wikidata""=>""Q10906081"",""brand:zh""=>""卓悅"",""name:en""=>""Bonjour"",""name:zh""=>""卓悅"",""shop""=>""cosmetics""",22.296575,114.172416,1,1
